id,item_name,category,quantity,minimum_threshold,reorder_quantity,unit_cost,location,purchase_date,expiry_date,supplier_name,supplier_email,lead_time_days,unit,tags
1,Bunsen Burner,equipment,12,3,10,45.00,"Lab A, Shelf 1",2024-01-15,,ScienceSupplies Co,orders@sciencesupplies.com,7,unit,"['lab','chemistry']"
2,Erlenmeyer Flask 250ml,equipment,80,20,50,3.50,"Lab A, Shelf 2",2024-01-15,,ScienceSupplies Co,orders@sciencesupplies.com,7,unit,"['glassware','chemistry']"
3,Microscope Slides,consumable,500,100,500,0.15,"Lab B, Cabinet 1",2024-02-01,2026-06-01,BioMed Supplies,contact@biomed.com,5,pack,"['biology','consumable']"
4,Latex Gloves (Box),consumable,30,10,50,8.99,"Lab B, Cabinet 2",2024-02-10,2026-12-01,SafetyFirst,info@safetyfirst.com,3,box,"['safety','consumable']"
5,Hydrochloric Acid 1L,chemical,8,2,5,22.50,"Chemical Store, Shelf A",2024-01-20,2025-06-15,ChemCo,orders@chemco.com,10,bottle,"['chemical','hazardous']"
6,Sodium Chloride 500g,chemical,15,5,10,4.75,"Chemical Store, Shelf B",2024-01-20,2027-01-01,ChemCo,orders@chemco.com,10,jar,"['chemical']"
7,Oscilloscope,equipment,4,1,2,350.00,"Electronics Lab, Bench 1",2023-06-01,,TechSupply,tech@techsupply.com,14,unit,"['electronics','measurement']"
8,Arduino Uno Kit,electronic,20,5,15,25.00,"Electronics Lab, Cabinet A",2024-03-01,,TechSupply,tech@techsupply.com,14,unit,"['electronics','arduino']"
9,Introduction to Physics (Halliday),book,45,10,20,65.00,"Library, Shelf P1",2023-08-01,,BookWorld,orders@bookworld.com,7,copy,"['physics','textbook']"
10,Organic Chemistry (Clayden),book,22,5,10,89.00,"Library, Shelf C2",2023-08-01,,BookWorld,orders@bookworld.com,7,copy,"['chemistry','textbook']"
11,Digital Multimeter,equipment,15,3,10,35.00,"Electronics Lab, Bench 2",2023-09-01,,TechSupply,tech@techsupply.com,14,unit,"['electronics','measurement']"
12,Filter Paper (Pack 100),consumable,25,8,30,12.00,"Lab A, Cabinet 3",2024-01-10,2026-03-01,ScienceSupplies Co,orders@sciencesupplies.com,7,pack,"['filtration','consumable']"
13,Pipette Tips 1000ul (Box),consumable,40,15,60,18.50,"Lab B, Cabinet 1",2024-02-15,2027-01-01,BioMed Supplies,contact@biomed.com,5,box,"['pipetting','consumable']"
14,Centrifuge Tubes 50ml,consumable,120,30,100,0.45,"Lab B, Cabinet 2",2024-02-15,2028-01-01,BioMed Supplies,contact@biomed.com,5,unit,"['tubes','consumable']"
15,Safety Goggles,equipment,35,10,20,6.50,"Lab A, Cabinet 4",2024-01-05,,SafetyFirst,info@safetyfirst.com,3,unit,"['safety','ppe']"
16,Lab Coat (Medium),equipment,20,5,15,18.00,"Lab A, Cabinet 4",2024-01-05,,SafetyFirst,info@safetyfirst.com,3,unit,"['safety','ppe']"
17,Raspberry Pi 4 (4GB),electronic,8,2,5,55.00,"Electronics Lab, Cabinet B",2024-03-15,,TechSupply,tech@techsupply.com,14,unit,"['electronics','raspberry-pi']"
18,Breadboard (Full Size),electronic,30,8,20,4.50,"Electronics Lab, Cabinet A",2024-03-01,,TechSupply,tech@techsupply.com,14,unit,"['electronics','prototyping']"
19,Ethanol 95% 500ml,chemical,10,3,8,14.00,"Chemical Store, Shelf C",2024-02-01,2025-08-01,ChemCo,orders@chemco.com,10,bottle,"['chemical','solvent']"
20,Petri Dishes (Pack 20),consumable,18,5,25,9.00,"Lab B, Cabinet 3",2024-02-20,2027-06-01,BioMed Supplies,contact@biomed.com,5,pack,"['biology','consumable']"
21,Thermometer Digital,equipment,12,3,8,22.00,"Lab A, Shelf 3",2023-11-01,,ScienceSupplies Co,orders@sciencesupplies.com,7,unit,"['measurement','temperature']"
22,pH Meter,equipment,5,2,3,85.00,"Lab A, Shelf 4",2023-10-01,,ScienceSupplies Co,orders@sciencesupplies.com,7,unit,"['measurement','chemistry']"
23,Stethoscope,equipment,8,2,5,45.00,"Medical Lab, Cabinet 1",2024-01-20,,MedEquip,sales@medequip.com,5,unit,"['medical','diagnostic']"
24,Blood Pressure Monitor,equipment,4,1,3,95.00,"Medical Lab, Cabinet 1",2024-01-20,,MedEquip,sales@medequip.com,5,unit,"['medical','diagnostic']"
25,Graph Theory (Diestel),book,12,3,8,72.00,"Library, Shelf M1",2023-08-01,,BookWorld,orders@bookworld.com,7,copy,"['mathematics','textbook']"
